AP-650,650ML RECTANGLE CONTAINER,$43.75,$35.00,300,$5.83,50
AP-1000,1000ML RECTANGLE CONTAINER,$42.10,500,$4.21,50
AP-LID,RECTANGLE CONTAINER LID,$23.50,500,$2.35,50
AP-R280,280ML ROUND CONTAINER,$27.22,500,$2.72,50
AP-R220,220ML ROUND CONTAINER,$26.26,500,$2.63,50
AP-R440,440ML ROUND CONTAINER,$30.25,500,$3.03,50
AP-R700,700ML ROUND CONTAINER,$36.20,500,$3.62,50
AP-LIDR,ROUND CONTAINER LID,$19.14,500,$1.91,50
AP-RB500,500ML RIBBED FREZER GRADE,$47.08,500,$4.71,50
AP-RB750,750ML RIBBED FREZER GRADE,$49.33,500,$4.93,50
AP-RB1000,1000ML RIBBED FREZER GRADE,$65.38,500,$6.54,50
AP-RBLID,RIBBED FREZER GARDE LID,$31.93,500,$3.19,50
WF160E,ECONOMY WOODEN FORK,$30.00,2000,$1.50,100
WS160E,ECONOMY WOODEN SPOON,$30.00,2000,$1.50,100
BCHOPR20,BAMMBO ROUND CHOPSTICKS,$53.50,3000,$1.78,100
LN1P,1 PLY LUNCH WHITE QTR FOLD,$23.50,2000,$23.50,2000
A361S0001,FLAT BAG #75 WHITE 212 X 175,$24.00,1000,$24.00,1000
GPL1L,GPL GREASE PROOF FLAT BAG WHITE,$14.50,500,$14.50,500
IE-HTC2,U/SLIM HAND TOWELS 23X24CM SMALL,$26.84,2400,$26.84,2400
IE-HTU2,U/SLIM HAND TOWELS 23X24CM LARGE,$27.13,2400,$27.13,2400
R-420-C,CUP 420ML UNBRANDED,$165.00,1000,$165.00,1000
C-96F,PLA FLAT LID,$55.00,1000,$55.00,1000
CTSWBLAPLA8OZB,8OZ COFFEE CUP PLA  90MM,$60.50,1000,$3.03,50
PSR,REGULAR STRAW,$38.00,2500,$3.80,250
CS08,COMPOSTABLE SHOPPING BAG SMALL,$40.68,1000,$40.68,1000
CS10,COMPOSTABLE SHOPPING BAG MEDIUM,$64.25,1000,$64.25,1000
CS12,COMPOSTABLE SHOPPING BAG LARGE,$80.42,1000,$80.42,1000
CW33,PREMIUM CATERERS WRAP 33 X 600,$16.91,1,$16.91,1
CW45,PREMIUM CATERERS WRAP 44 X 601,$20.43,1,$20.43,1
CON30,30ML SAUCE CONTAINER FLIP LID ,$55.70,2000,$55.70,2000
CON60,60ML SAUCE CONTAINER FLIP LID ,$95.24,2000,$95.24,2000
( USCSP ) ,SUGARCANE SOUP SPOON  (NEXTGEN PRODUCT),$35.00,$35.00,1000,$1.75,50
TH-80E,80 X 80 THERMAL ROLLS,$26.00,24,$6.50,6
GP16,80L HEAVY DUTY GARBAGE BAGS,$32.90,250,$6.58,50
2045,ALL SIZES CLEAR POWDER FREE GLOVES,$28.50,1000,$2.85,100
BSSS702,STAINLESS STEEL SCOURER 70GRM,$9.18,6,$9.18,6
BSS1321,REGULAR DUTY SPONGE SCOURER GREEN ,$5.71,10,$5.71,10
WP5030RBPROLL,ALL COLOURS PREMIUM BLUE WIPE,$55.99,6,$9.33,1
IE-TR400-Q,TOILET TISSUE 2PLY 400 SHTS CT,$28.00,48,
CON50,50ML SAUCE CONTAINER FLIP LID,$42.00,1000,$4.20,100
CON100,100ML SAUCE CONTAINER FLIP LID,$55.00,1000,$5.50,100
AP-R440,440ML ROUND CONTAINER ,$30.25,500,$3.03,50
AP-LIDR,ROUND CONTAINER LID,$19.14,500,$1.91,50
CTSWPLAWH12XL,12OZ COFFEE CUP PLA  90MM ,$75.00,1000,$3.75,50
DW20,GENERAL PURPOSE DISH WASH 20L,$19.85,$22.50,20L,
631040800,AUTO DISHWASHER LIQUID 15L,$61.25,$68.74,15L,
636080700,BLEACH,$13.50,$16.70,5L,
631090700,FOOD SURFACE SANITISER,$25.25,$28.50,5L,
634030800,FLOOR CLEANER WITH AMMONIA,$40.90,$47.22,15L,
631060800,MACHINE RINSE AID,$72.05,$80.00,15L,
631100700,LIME AND SCALE REMOVER,$18.15,$23.50,5L,
631080700,OVEN AND GRILL CLEANER,$19.35,$22.00,5L,
635010700,LIQUID HAND WASH ,$20.26,5L,
