KSB16,PLA COATED KRAFT SALAD BOWL 16OZ,$43.75,$44.19,300,,$7.37,50,
KSB25,PLA COATED KRAFT SALAD BOWL 25OZ,$45.50,$45.96,300,,$7.66,50,
KSB32,PLA COATED KRAFT SALAD BOWL 32OZ,$51.70,$52.22,300,,$8.70,50,
BSB16/25/32LPLA,CLEAR PLA LID FOR SALAD BOWL 16-32OZ,$62.45,$63.08,300,,$5.26,25,
BSB16/25/32LPET,CLEAR PET LID FOR SALAD BOWL 16-32OZ,$22.05,$22.27,300,,$1.86,25,
,,,,,,,,
KSB42,PLA COATED KRAFT SALAD BOWL 42OZ,$63.25,$63.89,300,,$10.65,50,
BSB42LPLA,CLEAR PLA LID FOR SALAD BOWL 42OZ,$75.45,$76.21,300,,$6.35,25,
BSB42LPET,CLEAR PET LID FOR SALAD BOWL 42OZ,$30.45,$30.76,300,,$2.56,25,
,,,,,,,,
BPB8,8OZ PLA PAPER BOWL KRAFT,$76.90,$77.68,1000,,$3.88,50,
PBPB8,8OZ PLA PAPER BOWL WHITE,$76.90,$77.68,1000,,$3.88,50,
,,,,,,,,
SB32,SUGARCANE BOWL 32OZ,$82.75,$83.59,500,,$20.90,125,
SB40,SUGARCANE BOWL 40OZ,$98.90,$99.90,500,,$24.97,125,
SB24/32/40SL,SUGARCANE LID/FITS SB24/32/40OZ,$68.25,$68.94,500,,$17.23,125,
,,,,,,,,
B-SLB-OCTA-500-N,500ML OCTA BASE NATURAL,$60.55,$61.16,400,,$7.65,50,
,,,,,,,,
AP-R220,220ML ROUND CONTAINER,$23.40,$23.64,500,,$2.36,50,
AP-R280,280ML ROUND CONTAINER,$24.25,$24.49,500,,$2.45,50,
AP-R440,440ML ROUND CONTAINER,$26.95,$27.22,500,,$2.72,50,
AP-R500,500ML ROUND CONTAINER,$29.95,$30.25,500,,$3.03,50,
AP-R700,700ML ROUND CONTAINER,$32.25,$32.58,500,,$3.26,50,
AP-LIDR,ROUND CONTAINER LID,$17.05,$17.22,500,,$1.72,50,
,,,,,,,,
AP-500,500ML RECTANGLE CONTAINER,$30.45,$30.76,500,,$3.08,50,
AP-650,500ML RECTANGLE CONTAINER,$31.65,$31.97,500,,$3.20,50,
AP-700,700ML RECTANGLE CONTAINER,$33.75,$34.09,500,,$3.41,50,
AP-750,750ML RECTANGLE CONTAINER,$34.45,$34.80,500,,$3.48,50,
AP-900,900ML RECTANGLE CONTAINER,$39.35,$39.75,500,,$3.97,50,
AP-1000,1000ML RECTANGLE CONTAINER,$41.65,$42.07,500,,$4.21,50,
AP-LID,RECTANGLE CONTAINER LID,$23.85,$24.09,500,,$2.41,50,
,,,,,,,,
AP-B1050,1050ML ROUND BOWL,$37.50,$37.88,400,,$4.73,50,
AP-B/LID,BOWL CONTAINER LID,$24.50,$24.75,400,,$3.09,50,
,,,,,,,,
AP-RB500,500ML RIBBED FREZER GRADE,$41.95,$42.37,500,,$4.24,50,
AP-RB750,RIBBED 750ML RECTANGLE,$43.95,$44.39,500,,$4.44,50,
AP-RB1000,1000ML RIBBED FREZER GRADE,$58.25,$58.84,500,,$5.88,50,
AP-RBLID,RIBBED FREZER GARDE LID,$28.45,$28.74,500,,$2.87,50,
,,,,,,,,
AP-S50,50ML SAUCE CONTAINER,$32.00,$32.32,1000,,$1.62,50,
AP-S100,100ML SAUCE CONTAINER,$35.00,$35.35,1000,,$1.77,50,
AP-LIDS,SAUCE CONTAINER LID,$22.00,$22.22,1000,,$2.22,100,
,,,,,,,,
AP-CC650,650ML COMPARTMENT SPLIT + LID,$39.00,$39.39,300,,$6.57,50,
,,,,,,,,
DC-12,12OZ PLA DELI BOWL,$74.55,$75.30,500,,$7.53,50,
DC-120F,FLAT PLA LID TO SUIT,$46.55,$47.02,500,,$4.70,50,
,,,,,,,,
7113-CONT,ALUMINIUM CONTAINER 220ML,$31.75,$32.07,500,,$6.41,100,
7113-LID,ALUMINIUM CONTAINER LID ,$13.85,$13.99,500,,$2.80,100,
7223-CONT,ALUMINIUM CONTAINER 1400ML,$52.15,$52.68,200,,$26.34,100,
7223-LID,ALUMINIUM CONTAINER LID ,$22.00,$22.22,200,,$11.11,100,
7421-CONT,ALUMINIUM CONTAINER 1000ML,$54.55,$55.10,400,,$13.78,100,
7421-LID,ALUMINIUM CONTAINER LID ,$20.25,$20.45,400,,$5.11,100,
7219-CONT,ALUMINIUM CONTAINER 500ML,$46.85,$47.32,500,,$9.46,100,
7219-LID,ALUMINIUM CONTAINER LID ,$17.65,$17.83,500,,$3.57,100,
7119-CONT,ALUMINIUM CONTAINER 700ML,$57.45,$58.03,500,,$11.61,100,
7119-LID,ALUMINIUM CONTAINER LID ,$13.55,$13.69,500,,$2.74,100,
7419-CONT,ALUMINIUM CONTAINER 890ML,$54.75,$55.30,400,,$13.83,100,
7419-LID,ALUMINIUM CONTAINER LID ,$20.70,$20.91,400,,$5.23,100,
7330-CONT,ALUMINIUM CONTAINER 2100ML,$41.25,$41.67,100,,$41.67,100,
7330-LID,ALUMINIUM CONTAINER LID ,$10.95,$11.06,100,,$11.06,100,
7131-CONT,ALUMINIUM CONTAINER 2200ML,$42.35,$42.78,100,,$42.78,100,
7131-LID,ALUMINIUM CONTAINER LID ,$12.95,$13.08,100,,$13.08,100,
7231-CONT,ALUMINIUM CONTAINER 2800ML,$46.25,$46.72,100,,$46.72,100,
7231-LID,ALUMINIUM CONTAINER LID ,$14.95,$15.10,100,,$15.10,100,
7521-CONT,ALUMINIUM CONTAINER 750ML,$57.25,$57.83,400,,$14.46,100,
7521-LID,ALUMINIUM CONTAINER LID ,$19.55,$19.75,400,,$4.94,100,
8595-CONT,ALUMINIUM CONTAINER LID OCTAGON,$115.00,$116.16,100,,$1.16,1,
6237,ALUMINIUM LARGE ROASTER RECTANGLE,$75.25,$76.01,50,,$1.52,1,
,,,,,,,,
C002,2OZ CUP (57ML) - SUGARCANE WHITE,$65.90,$66.57,2000,,$1.66,50,
UC002,2OZ CUP (57ML) - SUGARCANE NATURAL,$70.65,$71.36,2000,,$1.78,50,
UC001/2SL,SUGARCANE LID/FITS CO001/2,$48.45,$48.94,2000,,$1.22,50,
,,,,,,,,
B-SC-60-W-PF,SAUCE CUP FIBRE 60ML WHITE,$51.50,$52.02,1000,,$6.50,125,
B-SCL-60-PLA,SAUCE LID PLA 60ML,$56.50,$57.07,1000,,$2.85,50,
,,,,,,,,
B-HLP-N-PF,"CLAMSHELL PIZZA SLICE 9""""",$93.55,$94.49,250,,$18.90,50,
,,,,,,,,
LBW3,SMALL LUNCH BOX WINDOW ,$46.10,$46.57,200,,$11.64,50,
LBW4,MEDIUM LUNCH BOX WINDOW ,$55.15,$55.71,200,,$13.93,50,
LBW5,LARGE LUNCH BOX WINDOW ,$81.10,$81.92,200,,$20.48,50,
,,,,,,,,
L707S0010,EXTRA SMALL LUNCH BOX DETPAK,$34.25,$34.60,200,,$8.65,50,
L390S0010,EXTRA MEDIUM LUNCH BOX DETPAK,$63.00,$63.64,200,,$15.91,50,
L469S0010,EXTRA LARGE  LUNCH BOX DETPAK,$89.85,$90.76,200,,$22.69,50,
,,,,,,,,
WCS190,WOODEN COFFEE STICK,$95.00,$95.96,10000,,$0.96,100,
,,,,,,,,
PCB2,BURGER BOX,$25.45,$25.71,250,,$12.85,125,
PCB2H,BURGER BOX HIGH,$27.45,$27.73,250,,$13.86,125,
PCB4,HOT DOG BOX,$24.95,$25.20,200,,$12.60,100,
